date,Ibex 35,ibex 35 down,credito,recesión,Ibex 35%,ibex 35 down%,credito%,recesión%
2014-10-27,74,0,94,8,572.68,0.0,80.77,-11.11
2014-10-28,69,0,90,11,-6.76,0.0,-4.26,37.5
2014-10-29,77,0,90,8,11.59,0.0,0.0,-27.27
2014-10-30,63,0,92,11,-18.18,0.0,2.22,37.5
2014-10-31,71,0,90,0,12.7,0.0,-2.17,-99.99
2014-11-01,13,0,59,9,-81.69,0.0,-34.44,900000.0
2014-11-02,13,0,50,0,0.0,0.0,-15.25,-99.99
2014-11-03,70,0,89,8,438.43,0.0,78.0,800000.0
2014-11-04,63,0,95,11,-10.0,0.0,6.74,37.5
2014-11-05,73,0,93,22,15.87,0.0,-2.11,99.99
2014-11-06,74,0,90,19,1.37,0.0,-3.23,-13.64
2014-11-07,63,0,91,4,-14.86,0.0,1.11,-78.94
2014-11-08,14,0,62,5,-77.78,0.0,-31.87,24.99
2014-11-09,8,0,55,4,-42.85,0.0,-11.29,-20.0
2014-11-10,60,0,94,4,649.92,0.0,70.91,0.0
2014-11-11,67,0,95,15,11.67,0.0,1.06,274.93
2014-11-12,66,0,93,18,-1.49,0.0,-2.11,20.0
2014-11-13,71,0,94,8,7.58,0.0,1.08,-55.55
2014-11-14,58,0,87,4,-18.31,0.0,-7.45,-49.99
2014-11-15,10,0,57,9,-82.76,0.0,-34.48,124.97
2014-11-16,8,0,49,0,-20.0,0.0,-14.03,-99.99
2014-11-17,64,0,85,15,699.91,0.0,73.47,1500000.0
2014-11-18,74,0,94,28,15.62,0.0,10.59,86.66
2014-11-19,64,0,93,11,-13.51,0.0,-1.06,-60.71
2014-11-20,59,0,87,19,-7.81,0.0,-6.45,72.72
2014-11-21,73,0,82,8,23.73,0.0,-5.75,-57.89
2014-11-22,15,0,55,13,-79.45,0.0,-32.93,62.49
2014-11-23,13,0,52,13,-13.33,0.0,-5.45,0.0
2014-11-24,79,0,86,7,507.65,0.0,65.38,-46.15
2014-11-25,80,0,93,15,1.27,0.0,8.14,114.27
2014-11-26,66,0,90,23,-17.5,0.0,-3.23,53.33
2014-11-27,69,0,94,36,4.55,0.0,4.44,56.52
2014-11-28,77,0,90,28,11.59,0.0,-4.26,-22.22
2014-11-29,11,0,60,30,-85.71,0.0,-33.33,7.14
2014-11-30,12,0,52,12,9.09,0.0,-13.33,-60.0
2014-12-01,64,0,90,28,433.3,0.0,73.08,133.32
2014-12-02,64,0,89,21,0.0,0.0,-1.11,-25.0
2014-12-03,76,0,89,7,18.75,0.0,0.0,-66.66
2014-12-04,79,0,89,15,3.95,0.0,0.0,114.27
2014-12-05,70,0,83,19,-11.39,0.0,-6.74,26.66
2014-12-06,12,0,57,9,-82.86,0.0,-31.32,-52.63
2014-12-07,7,0,46,4,-41.66,0.0,-19.3,-55.55
2014-12-08,34,0,70,4,385.66,0.0,52.17,0.0
2014-12-09,69,74,89,21,102.94,7400000.0,27.14,424.89
2014-12-10,64,0,86,22,-7.25,-100.0,-3.37,4.76
2014-12-11,70,0,85,4,9.37,0.0,-1.16,-81.81
2014-12-12,69,0,82,19,-1.43,0.0,-3.53,374.91
2014-12-13,21,0,55,13,-69.56,0.0,-32.93,-31.58
2014-12-14,13,0,51,9,-38.09,0.0,-7.27,-30.77
2014-12-15,74,0,92,4,469.19,0.0,80.39,-55.55
2014-12-16,96,0,92,18,29.73,0.0,0.0,349.91
2014-12-17,79,0,88,11,-17.71,0.0,-4.35,-38.89
2014-12-18,87,0,82,0,10.13,0.0,-6.82,-99.99
2014-12-19,79,0,78,0,-9.2,0.0,-4.88,0.0
2014-12-20,13,0,59,0,-83.54,0.0,-24.36,0.0
2014-12-21,9,0,46,14,-30.77,0.0,-22.03,1400000.0
2014-12-22,70,0,81,4,677.7,0.0,76.09,-71.42
2014-12-23,74,0,77,4,5.71,0.0,-4.94,0.0
2014-12-24,50,0,54,0,-32.43,0.0,-29.87,-99.98
2014-12-25,21,0,39,5,-58.0,0.0,-27.78,500000.0
2014-12-26,49,0,70,13,133.33,0.0,79.49,159.97
2014-12-27,14,0,57,4,-71.43,0.0,-18.57,-69.23
2014-12-28,13,0,51,9,-7.14,0.0,-10.53,124.97
2014-12-29,64,0,85,0,392.28,0.0,66.67,-99.99
2014-12-30,67,0,86,24,4.69,0.0,1.18,2400000.0
2014-12-31,52,0,58,97,-22.39,0.0,-32.56,304.15
2015-01-01,13,0,34,18,-75.0,0.0,-41.38,-81.44
2015-01-02,71,0,72,40,446.12,0.0,111.76,122.22
2015-01-03,14,0,62,21,-80.28,0.0,-13.89,-47.5
